21,/snd-portable-compact-4-1-mini-adapter-foot-pedal-electric-sewing-machine/p/itmes7fwyjzz8jtc?pid=SMCES7FW7T8CVJBF&lid=LSTSMCES7FW7T8CVJBFQUNGNI&marketplace=FLIPKART&srno=b_2_61&otracker=browse&fm=organic&iid=c3bf7b9e-46a2-42a5-9596-68b97be6e6ef.SMCES7FW7T8CVJBF.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jf4a64w0/sewing-machine/t/m/y/ssmsm01650-shoppingshort-original-imaemxffj64gqcxg.jpeg?q=70,SND Portable & Compact 4 in 1 Mini Adapter Foot Pedal Electric Sewing Machine,₹899,(89),<div class="hGSR34 _1x2VEC">2.8 ★</div>
22,/snd-hand-held-cordless-stapler-portable-sewing-machine-cloth-garment-stitching-electric/p/itmff7zfxsacqdhz?pid=SMCFF6PKQ3RVYS66&lid=LSTSMCFF6PKQ3RVYS66KIWTJO&marketplace=FLIPKART&srno=b_2_62&otracker=browse&fm=organic&iid=04097a02-200b-4207-9779-a23be919b8a9.SMCFF6PKQ3RVYS66.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jbzedu80-1/sewing-machine/s/6/6/hand-held-cordless-stapler-portable-sewing-machine-for-cloth-original-imaff6g3zvj5f7uv.jpeg?q=70,SND Hand-Held Cordless Stapler Portable Sewing Machine For Cloth & Garment Stitching Electric Sewing Machine Electric Sewing Machine,₹399,(84),<div class="hGSR34 _1x2VEC">2.5 ★</div>
23,/easy-silai-es1247-electric-sewing-machine/p/itmf5n4uqxkzq9mg?pid=SMCF5N2YTWYYAMCN&lid=LSTSMCF5N2YTWYYAMCNSMVVZT&marketplace=FLIPKART&srno=b_2_63&otracker=browse&fm=organic&iid=db518536-30e5-465f-83b0-ede5673734ac.SMCF5N2YTWYYAMCN.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jhp5si80/sewing-machine/m/c/n/es1247-easy-silai-original-imaf5n4u3rgcrta9.jpeg?q=70,EASY SILAI ES1247 Electric Sewing Machine,₹1，220,0,0
24,/gadget-bucket-portable-compact-4-1-mini-adapter-foot-pedal-electric-sewing-machine/p/itme63z3wdaftbh7?pid=SMCE63Z3BZJ8HYGZ&lid=LSTSMCE63Z3BZJ8HYGZG1LOXV&marketplace=FLIPKART&srno=b_2_64&otracker=browse&fm=organic&iid=dd1133e9-6c22-42fe-9671-e893271014a1.SMCE63Z3BZJ8HYGZ.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jdbzcsw0/sewing-machine/5/8/9/mini-electric-power-mode-amir-enterprise-original-imaff5u6w4g8grqc.jpeg?q=70,Gadget Bucket Portable & Compact 4 in 1 Mini Adapter Foot Pedal Electric Sewing Machine,₹895,(957),<div class="hGSR34 _2beYZw">3 ★</div>
25,/benison-india-hand-held-heat-sealer-electric-sewing-machine/p/itmev4fzpzwfzgbp?pid=SMCEV4FZME6YRG2H&lid=LSTSMCEV4FZME6YRG2HDWDN8V&marketplace=FLIPKART&srno=b_2_65&otracker=browse&fm=organic&iid=35adf045-bfd5-4e66-80f6-7cd4112835ef.SMCEV4FZME6YRG2H.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/j4fwpzk0/sewing-machine/h/p/a/plastic-bag-heat-sealer-benison-india-original-imaev2sy86yrhhhh.jpeg?q=70,Benison India Hand held heat sealer Electric Sewing Machine,₹1，581,(26),<div class="hGSR34 _2beYZw">3.3 ★</div>
26,/benison-india-original-ming-hui-portable-4-1-mini-electric-sewing-machine/p/itmemxhbqk98xrbu?pid=SMCEMXHBF9JBHNUU&lid=LSTSMCEMXHBF9JBHNUUHAFJYG&marketplace=FLIPKART&srno=b_2_66&otracker=browse&fm=organic&iid=e73226d8-d149-4adc-b729-9a7ea4bc5356.SMCEMXHBF9JBHNUU.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/j9pyaa80/sewing-machine/7/4/b/g001-portable-compact-4-in-1-mini-adapter-foot-pedal-gking-original-imaemxffj64gqcxg.jpeg?q=70,Benison India ™ Original Ming Hui Portable 4 in 1 Mini Electric Sewing Machine,₹1，384,(35),<div class="hGSR34 _2beYZw">3.1 ★</div>
27,/sastaoutlet-portable-stapler-model-sun-mini-hand-sot7-manual-sewing-machine/p/itmewrmnfwf9mwcm?pid=SMCEWRMNNY99BSZZ&lid=LSTSMCEWRMNNY99BSZZQMKCSS&marketplace=FLIPKART&srno=b_2_67&otracker=browse&fm=organic&iid=b6423876-97a8-4f83-86a6-8259c54b4814.SMCEWRMNNY99BSZZ.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/j9zyd8w0/sewing-machine/w/a/9/portable-stapler-model-sun-mini-hand-silaiwalans7-silaiwala-original-imaewqnnyab9xu2z.jpeg?q=70,SastaOutlet Portable Stapler Model Sun Mini Hand-Sot7 Manual Sewing Machine,₹224,(9),<div class="hGSR34 _1nLEql">1.6 ★</div>
28,/akhi-wotel-electric-sewing-machine/p/itmf2dn7kruambqz?pid=SMCF26YWUP5RYVRF&lid=LSTSMCF26YWUP5RYVRF4DCHNO&marketplace=FLIPKART&srno=b_2_68&otracker=browse&fm=organic&iid=faf6420c-2fde-48d8-8690-e19a91900ce1.SMCF26YWUP5RYVRF.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/jdhp47k0/sewing-machine/v/r/f/wotel-akhi-original-imaf29yybhqnsven.jpeg?q=70,akhi wotel Electric Sewing Machine,₹920,0,0
29,/bms-lifestyle-stitchmaster-16built-electric-sewing-machine/p/itmesrefh8mkvg4a?pid=SMCESRDRNRWBT9VQ&lid=LSTSMCESRDRNRWBT9VQMFGTAM&marketplace=FLIPKART&srno=b_2_69&otracker=browse&fm=organic&iid=5903cfe3-5e6a-49a4-a614-e5c549e9b604.SMCESRDRNRWBT9VQ.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/j13vqfk0/sewing-machine/9/v/q/stitchmaster-16built-bms-lifestyle-original-imaesr5jmags56e8.jpeg?q=70,BMS Lifestyle StitchMaster_16built Electric Sewing Machine,₹4，489,(47),<div class="hGSR34 _2beYZw">3.2 ★</div>
30,/al-hind-ultra32-electric-sewing-machine/p/itmejejswv8qcmqh?pid=SMCEJEJS9WZEXZBN&lid=LSTSMCEJEJS9WZEXZBNHQPUJQ&marketplace=FLIPKART&srno=b_2_70&otracker=browse&fm=organic&iid=ac1d20c8-4918-44bb-807e-52e5b81b4c2c.SMCEJEJS9WZEXZBN.SEARCH&ppt=StoreBrowse&ppn=Store,https://rukminim1.flixcart.com/image/612/612/sewing-machine/z/b/n/al-hind-ultra32-original-imaegebyugvyjqqp.jpeg?q=70,al hind ULTRA32 Electric Sewing Machine,₹900,(28),<div class="hGSR34 _2beYZw">3.9 ★</div>
